Platform,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Platform,2015,2016,2017,2018.0,2019,2020,2021.0,2022.0,2023.0,2024
Amazon Prime,,$6.99,,,,,,,,$9.99
Apple,,,,,$7.99,,,,,$12.99
Disney+,,,,,$8.99,,,,,$13.99-$17.99
Foxtel Now,,,$10-$25,,,,,,,$25
Netflix,$8.99,,,,,,,,,$7.99-$25.99
Stan,,$10-$14 ,,,,,,,,$10-$21
Binge,,,,,,$10-$18,,,,$10-$22
