Platform,Date,Number of Content Titles
Foxtel Now,November 2016,
Foxtel Now,December 2016,
Foxtel Now,January 2017,
Foxtel Now,February 2017,
Foxtel Now,March 2017,
Foxtel Now,April 2017,
Foxtel Now,May 2017,
Foxtel Now,June 2017,
Foxtel Now,July 2017,
Foxtel Now,August 2017,
Foxtel Now,September 2017,"3,095"
Foxtel Now,October 2017,"2,974"
Foxtel Now,November 2017,"3,053"
Foxtel Now,December 2017,3201
Foxtel Now,January 2018,3138
Foxtel Now,February 2018,3324
Foxtel Now,March 2018,3311
Foxtel Now,April 2018,3251
Foxtel Now,May 2018,3277
Foxtel Now,June 2018,3394
Foxtel Now,July 2018,3545
Foxtel Now,August 2018,3645
Foxtel Now,September 2018,3618
Foxtel Now,October 2018,3746
Foxtel Now,November 2018,3957
Foxtel Now,December 2018,3957
Foxtel Now,January 2019,3858
Foxtel Now,February 2019,3888
Foxtel Now,March 2019,4050
Foxtel Now,April 2019,4090
Foxtel Now,May 2019,4054
Foxtel Now,June 2019,4079
Foxtel Now,July 2019,4055
Foxtel Now,August 2019,4197
Foxtel Now,September 2019,4310
Foxtel Now,October 2019,4370
Foxtel Now,November 2019,4572
Foxtel Now,December 2019,4468
Foxtel Now,January 2020,4548
Foxtel Now,February 2020,4823
Foxtel Now,March 2020,4946
Foxtel Now,April 2020,5035
Foxtel Now,May 2020,5065
Foxtel Now,June 2020,5090
Foxtel Now,July 2020,5244
Foxtel Now,August 2020,5281
Foxtel Now,September 2020,5369
Foxtel Now,October 2020,5451
Foxtel Now,November 2020,5523
Foxtel Now,December 2020,5932
Foxtel Now,January 2021,5860
Foxtel Now,February 2021,5836
Foxtel Now,March 2021,5861
Foxtel Now,April 2021,5959
Foxtel Now,May 2021,6017
Foxtel Now,June 2021,6032
Hayu,June 2015,
Hayu,July 2015,
Hayu,August 2015,
Hayu,September 2015,
Hayu,October 2015,
Hayu,November 2015,
Hayu,December 2015,
Hayu,January 2016,
Hayu,February 2016,
Hayu,March 2016,
Hayu,April 2016,
Hayu,May 2016,
Hayu,June 2016,
Hayu,July 2016,
Hayu,August 2016,
Hayu,September 2016,
Hayu,October 2016,
Hayu,November 2016,
Hayu,December 2016,
Hayu,January 2017,
Hayu,February 2017,
Hayu,March 2017,
Hayu,April 2017,
Hayu,May 2017,
Hayu,June 2017,
Hayu,July 2017,
Hayu,August 2017,
Hayu,September 2017,
Hayu,October 2017,
Hayu,November 2017,
Hayu,December 2017,
Hayu,January 2018,
Hayu,February 2018,
Hayu,March 2018,
Hayu,April 2018,
Hayu,May 2018,
Hayu,June 2018,
Hayu,July 2018,
Hayu,August 2018,
Hayu,September 2018,
Hayu,October 2018,
Hayu,November 2018,
Hayu,December 2018,
Hayu,January 2019,
Hayu,February 2019,
Hayu,March 2019,
Hayu,April 2019,
Hayu,May 2019,
Hayu,June 2019,
Hayu,July 2019,
Hayu,August 2019,
Hayu,September 2019,
Hayu,October 2019,
Hayu,November 2019,
Hayu,December 2019,
Hayu,January 2020,638
Hayu,February 2020,638
Hayu,March 2020,641
Hayu,April 2020,650
Hayu,May 2020,652
Hayu,June 2020,655
Hayu,July 2020,655
Hayu,August 2020,665
Hayu,September 2020,633
Hayu,October 2020,681
Hayu,November 2020,741
Hayu,December 2020,787
Hayu,January 2021,729
Hayu,February 2021,843
Hayu,March 2021,750
Hayu,April 2021,759
Hayu,May 2021,763
Hayu,June 2021,761
Netflix,June 2015,1666
Netflix,July 2015,1777
Netflix,August 2015,1933
Netflix,September 2015,2039
Netflix,October 2015,2100
Netflix,November 2015,2172
Netflix,December 2015,2248
Netflix,January 2016,2382
Netflix,February 2016,2493
Netflix,March 2016,2575
Netflix,April 2016,2553
Netflix,May 2016,2651
Netflix,June 2016,2703
Netflix,July 2016,2933
Netflix,August 2016,3100
Netflix,September 2016,3227
Netflix,October 2016,3322
Netflix,November 2016,3426
Netflix,December 2016,3635
Netflix,January 2017,3758
Netflix,February 2017,3894
Netflix,March 2017,3925
Netflix,April 2017,3993
Netflix,May 2017,4218
Netflix,June 2017,4311
Netflix,July 2017,4459
Netflix,August 2017,4569
Netflix,September 2017,4682
Netflix,October 2017,4857
Netflix,November 2017,4950
Netflix,December 2017,5099
Netflix,January 2018,5244
Netflix,February 2018,5229
Netflix,March 2018,5377
Netflix,April 2018,5400
Netflix,May 2018,5467
Netflix,June 2018,5503
Netflix,July 2018,5570
Netflix,August 2018,5694
Netflix,September 2018,5793
Netflix,October 2018,5865
Netflix,November 2018,5969
Netflix,December 2018,6014
Netflix,January 2019,6239
Netflix,February 2019,6312
Netflix,March 2019,6191
Netflix,April 2019,6222
Netflix,May 2019,6261
Netflix,June 2019,6065
Netflix,July 2019,6235
Netflix,August 2019,6302
Netflix,September 2019,6318
Netflix,October 2019,6379
Netflix,November 2019,6438
Netflix,December 2019,6417
Netflix,January 2020,6530
Netflix,February 2020,6543
Netflix,March 2020,6620
Netflix,April 2020,6659
Netflix,May 2020,6766
Netflix,June 2020,7015
Netflix,July 2020,7152
Netflix,August 2020,7044
Netflix,September 2020,7170
Netflix,October 2020,7135
Netflix,November 2020,7375
Netflix,December 2020,7254
Netflix,January 2021,7190
Netflix,February 2021,7277
Netflix,March 2021,7292
Netflix,April 2021,7399
Netflix,May 2021,7463
Netflix,June 2021,7531
Stan,June 2015,
Stan,July 2015,
Stan,August 2015,
Stan,September 2015,
Stan,October 2015,
Stan,November 2015,
Stan,December 2015,
Stan,January 2016,
Stan,February 2016,
Stan,March 2016,
Stan,April 2016,
Stan,May 2016,
Stan,June 2016,
Stan,July 2016,
Stan,August 2016,
Stan,September 2016,
Stan,October 2016,
Stan,November 2016,
Stan,December 2016,
Stan,January 2017,
Stan,February 2017,
Stan,March 2017,
Stan,April 2017,
Stan,May 2017,
Stan,June 2017,
Stan,July 2017,
Stan,August 2017,
Stan,September 2017,"2,266"
Stan,October 2017,"2,279"
Stan,November 2017,"2,284"
Stan,December 2017,2395
Stan,January 2018,2326
Stan,February 2018,2322
Stan,March 2018,2290
Stan,April 2018,2270
Stan,May 2018,2263
Stan,June 2018,2256
